价格,新车价,行驶时间,公里数,保养方式,使用类型,所在地,环境标准,年检到期日,保险到期日,depre,city,miles,years,y
3.8,13.98,9年2个月,8.00万公里,无定期保养,非营运车,成都,国3,2017年11月,2017年11月,0.271816881259,cd,8.0,9.75,-0.98542394439
18.0,72.62,11年10个月,11.00万公里,无定期保养,非营运车,成都,国3,2017年11月,2017年11月,0.247865601763,cd,11.0,1.08333333333,-1.11002835815
11.8,13.57,7个月,0.60万公里,4S店定期保养,非营运车,成都,"国4,国5",2018年03月,2018年03月,0.869565217391,cd,0.6,7.58333333333,1.89711998489
19.8,30.18,3年7个月,6.80万公里,4S店定期保养,非营运车,成都,欧5,2018年03月,2019年03月,0.65606361829,cd,6.8,3.25,0.645801059963
7.38,14.21,4年,5.10万公里,4S店定期保养,非营运车,成都,国4,2017年10月,2017年10月,0.519352568614,cd,5.1,4.33333333333,0.0774489650297
4.48,14.64,8年6个月,11.30万公里,无定期保养,非营运车,成都,"国3,OBD",2017年11月,2017年11月,0.306010928962,cd,11.3,8.66666666667,-0.818835395723
6.8,18.92,6年2个月,6.60万公里,4S店定期保养,非营运车,成都,国4,2019年08月,2019年08月,0.359408033827,cd,6.6,6.5,-0.577934368459
4.28,10.61,5年7个月,4.44万公里,4S店定期保养,非营运车,成都,国4,2018年03月,2019年03月,0.403393025448,cd,4.44,5.41666666667,-0.391347226562
26.8,104.53,8年,10.00万公里,4S店定期保养,非营运车,成都,欧4,2018年10月,2018年10月,0.256385726586,cd,10.0,8.66666666667,-1.06483939573
4.68,8.55,3年3个月,1.20万公里,4S店定期保养,非营运车,成都,"欧4,OBD",2018年07月,2019年07月,0.547368421053,cd,1.2,3.25,0.190043602888
17.8,37.77,5年1个月,5.70万公里,4S店定期保养,非营运车,成都,国4,2018年09月,2019年09月,0.471273497485,cd,5.7,5.41666666667,-0.11503269013
69.8,88.79,11个月,0.13万公里,4S店定期保养,非营运车,成都,国5,2018年11月,2017年11月,0.786124563577,cd,0.13,1.08333333333,1.30172148494
73.8,100.6,9个月,0.10万公里,4S店定期保养,非营运车,成都,国4,2019年01月,2018年01月,0.733598409543,cd,0.1,9.75,1.01295684409
29.8,37.97,2年8个月,1.70万公里,4S店定期保养,非营运车,成都,国5,2021年02月,已到期,0.784830129049,cd,1.7,2.16666666667,1.29403948464
9.2,12.79,2年,2.30万公里,4S店定期保养,非营运车,成都,"国4,国5",2017年10月,2017年10月,0.719311962471,cd,2.3,2.16666666667,0.941051281555
5.98,7.46,1年8个月,2.60万公里,4S店定期保养,非营运车,成都,"国4,国5",2021年02月,已到期,0.801608579088,cd,2.6,1.08333333333,1.39637848019
56.8,101.06,2年7个月,4.40万公里,4S店定期保养,非营运车,成都,欧4,2019年03月,2018年03月,0.562042351079,cd,4.4,2.16666666667,0.249454991104
13.2,37.45,6年2个月,7.00万公里,4S店定期保养,非营运车,成都,国4,2019年08月,2019年08月,0.352469959947,cd,7.0,6.5,-0.608199787791
58.8,46.65,1年4个月,3.00万公里,4S店定期保养,非营运车,成都,欧5,2018年06月,2019年06月,1.26045016077,cd,3.0,1.08333333333,
35.5,50.85,1年8个月,0.42万公里,4S店定期保养,非营运车,成都,国5,2018年02月,2019年02月,0.698131760079,cd,0.42,1.08333333333,0.838417222448
27.0,34.17,1年7个月,1.40万公里,4S店定期保养,非营运车,成都,欧5,2018年03月,2019年03月,0.790166812994,cd,1.4,1.08333333333,1.32593121139
23.79,30.94,1年2个月,0.26万公里,4S店定期保养,非营运车,成都,欧5,2018年08月,2019年08月,0.768907563025,cd,0.26,1.08333333333,1.20215296761
10.98,29.84,5年11个月,6.00万公里,4S店定期保养,非营运车,成都,国4,2017年11月,2017年11月,0.367962466488,cd,6.0,5.41666666667,-0.540967841124
20.6,33.43,3年4个月,4.00万公里,4S店定期保养,非营运车,成都,"国4,京5",2018年06月,2019年06月,0.616212982351,cd,4.0,3.25,0.473504897168
1.5,5.31,6年3个月,8.00万公里,4S店定期保养,非营运车,成都,国4,2018年07月,2018年07月,0.282485875706,cd,8.0,6.5,-0.93216408103
29.2,35.36,1年10个月,1.00万公里,4S店定期保养,非营运车,成都,欧5,2017年12月,2017年12月,0.825791855204,cd,1.0,1.08333333333,1.55609193173
8.18,19.25,2年11个月,2.80万公里,4S店定期保养,非营运车,成都,"国4,国5",2018年11月,2017年11月,0.424935064935,cd,2.8,2.16666666667,-0.302546596106
27.8,35.36,2年9个月,5.74万公里,4S店定期保养,非营运车,成都,欧5,2019年01月,2019年01月,0.786199095023,cd,5.74,2.16666666667,1.30216483051
15.8,29.5,5年4个月,5.80万公里,4S店定期保养,非营运车,成都,国4,2018年06月,2019年06月,0.535593220339,cd,5.8,5.41666666667,0.142614107199
9.3,28.31,9年5个月,9.00万公里,4S店定期保养,非营运车,成都,国3,2018年05月,2018年05月,0.328505828329,cd,9.0,9.75,-0.714950756341
28.5,44.48,3年6个月,8.50万公里,4S店定期保养,非营运车,成都,"国4,国5",2018年04月,2019年04月,0.640737410072,cd,8.5,3.25,0.578566146936
31.98,54.25,3年6个月,5.60万公里,4S店定期保养,非营运车,成都,"国4,京5",已到期,已到期,0.589493087558,cd,5.6,3.25,0.361870226137
5.88,12.15,6年6个月,8.20万公里,4S店定期保养,非营运车,成都,国4,2019年04月,2019年04月,0.483950617284,cd,8.2,6.5,-0.0642195927343
24.6,53.14,6年2个月,11.00万公里,4S店定期保养,非营运车,成都,国4,2019年08月,2019年08月,0.462928114415,cd,11.0,6.5,-0.14856016911
21.8,34.91,2年3个月,4.20万公里,4S店定期保养,非营运车,成都,"国4,国5",2019年07月,2018年07月,0.624462904612,cd,4.2,2.16666666667,0.508534672019
78.89,108.33,1年3个月,3.44万公里,4S店定期保养,非营运车,成都,欧4,2018年07月,2019年07月,0.728237791932,cd,3.44,1.08333333333,0.985700183246
159.8,382.95,5年9个月,1.80万公里,4S店定期保养,非营运车,成都,欧4,2018年01月,2018年01月,0.417286852069,cd,1.8,5.41666666667,-0.333921157743
4.78,11.81,8年5个月,6.20万公里,4S店定期保养,非营运车,成都,国4,2018年05月,2018年05月,0.404741744285,cd,6.2,8.66666666667,-0.385746159319
12.88,24.51,4年10个月,9.50万公里,4S店定期保养,非营运车,成都,国4,2018年12月,2017年12月,0.525499796002,cd,9.5,4.33333333333,0.102087754146
25.5,36.14,1年9个月,3.00万公里,4S店定期保养,非营运车,成都,"国4,国5",2018年01月,2018年01月,0.705589374654,cd,3.0,1.08333333333,0.874057968251
44.8,87.71,3年2个月,1.80万公里,4S店定期保养,非营运车,成都,"国4,京5",2018年01月,2018年01月,0.510774142059,cd,1.8,3.25,0.0431032404175
12.5,15.93,8个月,0.50万公里,4S店定期保养,非营运车,成都,"国4,国5",2019年02月,2018年02月,0.784682988073,cd,0.5,8.66666666667,1.29316838313
31.8,28.09,1年8个月,2.00万公里,4S店定期保养,非营运车,成都,"国4,国5",2018年02月,已到期,1.1320754717,cd,2.0,1.08333333333,
9.68,22.13,6年9个月,7.58万公里,4S店定期保养,非营运车,成都,国4,2019年01月,已到期,0.437415273385,cd,7.58,6.5,-0.251658721622
29.26,34.17,2年1个月,1.40万公里,4S店定期保养,非营运车,成都,欧5,已到期,已到期,0.856306701785,cd,1.4,2.16666666667,1.78494745379
16.79,30.61,5年2个月,3.08万公里,4S店定期保养,非营运车,成都,国4,2018年08月,2019年08月,0.548513557661,cd,3.08,5.41666666667,0.19466665275
98.8,108.53,9个月,0.75万公里,4S店定期保养,非营运车,成都,欧5,2019年01月,2018年01月,0.910347369391,cd,0.75,9.75,2.31788370856
22.79,34.63,3年4个月,1.80万公里,4S店定期保养,非营运车,成都,国4,2018年06月,2019年06月,0.65809991337,cd,1.8,3.25,0.654838213802
35.79,54.49,3年1个月,5.30万公里,4S店定期保养,非营运车,成都,欧4,2018年09月,2017年09月,0.656817764727,cd,5.3,3.25,0.649145000917
6.88,7.46,1年5个月,1.00万公里,4S店定期保养,非营运车,成都,"国4,国5",2018年05月,2019年05月,0.922252010724,cd,1.0,1.08333333333,2.47334582739
6.8,12.57,4年2个月,3.00万公里,4S店定期保养,非营运车,成都,"国4,京5",2018年08月,2018年08月,0.540970564837,cd,3.0,4.33333333333,0.164250531662
75.8,151.75,2年7个月,2.20万公里,4S店定期保养,非营运车,成都,欧5,2019年03月,2018年03月,0.499505766063,cd,2.2,2.16666666667,-0.00197693639346
2.65,7.79,7年3个月,8.50万公里,4S店定期保养,非营运车,成都,国4,2018年10月,2018年10月,0.340179717587,cd,8.5,7.58333333333,-0.662493439469
28.2,53.69,5年2个月,5.60万公里,4S店定期保养,非营运车,成都,国4,2018年08月,2019年08月,0.52523747439,cd,5.6,5.41666666667,0.101035759556
14.68,23.64,5年5个月,5.00万公里,4S店定期保养,非营运车,成都,国4,2018年05月,2019年05月,0.620981387479,cd,5.0,5.41666666667,0.4937157962
18.6,30.81,3年10个月,4.00万公里,4S店定期保养,非营运车,成都,"OBD,国5",2017年12月,2017年12月,0.603700097371,cd,4.0,3.25,0.420906292597
9.5,19.52,5年7个月,6.50万公里,4S店定期保养,非营运车,成都,国4,2018年03月,2019年03月,0.486680327869,cd,6.5,5.41666666667,-0.0532912970502
3.68,15.07,7年5个月,6.30万公里,4S店定期保养,非营运车,成都,国3,2018年05月,2018年05月,0.244193762442,cd,6.3,7.58333333333,-1.12982302528
24.3,46.52,5年1个月,8.20万公里,4S店定期保养,非营运车,成都,国4,2018年09月,2019年09月,0.522355975924,cd,8.2,5.41666666667,0.089483566135
3.56,6.49,6年9个月,5.80万公里,4S店定期保养,非营运车,成都,国3,2019年01月,2019年01月,0.548536209553,cd,5.8,6.5,0.194758121835
14.8,28.86,5年,5.00万公里,4S店定期保养,非营运车,成都,欧4,2018年10月,2017年10月,0.512820512821,cd,5.0,5.41666666667,0.0512932943876
23.6,60.79,5年7个月,8.20万公里,4S店定期保养,非营运车,成都,国4,2018年03月,2019年03月,0.388221746998,cd,8.2,5.41666666667,-0.454793195905
34.18,52.97,1年11个月,2.00万公里,4S店定期保养,非营运车,成都,欧5,2017年11月,2017年11月,0.645270908061,cd,2.0,1.08333333333,0.598315864262
8.6,24.73,7年,7.20万公里,4S店定期保养,非营运车,成都,国4,2017年10月,2017年10月,0.347755762232,cd,7.2,7.58333333333,-0.628918688878
6.98,19.95,8年2个月,8.00万公里,4S店定期保养,非营运车,成都,欧4,2018年08月,2018年08月,0.349874686717,cd,8.0,8.66666666667,-0.619590081554
10.5,21.69,5年5个月,5.00万公里,4S店定期保养,非营运车,成都,国4,2018年05月,2019年05月,0.484094052559,cd,5.0,5.41666666667,-0.0636452651604
6.1,12.35,4年4个月,4.00万公里,4S店定期保养,非营运车,成都,国4,2019年06月,2019年06月,0.493927125506,cd,4.0,4.33333333333,-0.024292692569
32.8,63.83,4年2个月,6.10万公里,4S店定期保养,非营运车,成都,欧4,2019年08月,2019年08月,0.513864953783,cd,6.1,4.33333333333,0.0554740369298
37.0,47.65,3年8个月,4.00万公里,4S店定期保养,非营运车,成都,欧4,2018年02月,2019年02月,0.776495278069,cd,4.0,3.25,1.24535802049
65.5,86.73,1年4个月,2.30万公里,4S店定期保养,非营运车,成都,"国4,国5",2018年06月,2019年06月,0.755217341174,cd,2.3,1.08333333333,1.12663486693
13.6,23.86,4年11个月,7.40万公里,4S店定期保养,非营运车,成都,国4,2018年11月,2017年11月,0.56999161777,cd,7.4,4.33333333333,0.281816952999
28.5,46.41,4年6个月,10.80万公里,4S店定期保养,非营运车,成都,国4,2019年04月,2019年04月,0.614091790562,cd,10.8,4.33333333333,0.464544871202
11.68,24.42,6年10个月,3.68万公里,4S店定期保养,非营运车,成都,欧4,2017年12月,2017年12月,0.478296478296,cd,3.68,6.5,-0.0868686727439
4.98,13.88,5年10个月,6.90万公里,4S店定期保养,非营运车,成都,国4,2017年12月,2017年12月,0.35878962536,cd,6.9,5.41666666667,-0.580621385702
13.79,30.61,5年5个月,5.80万公里,4S店定期保养,非营运车,成都,欧4,2018年05月,2019年05月,0.450506370467,cd,5.8,5.41666666667,-0.19862496274
4.7,8.02,5年2个月,7.10万公里,4S店定期保养,非营运车,成都,国4,2018年08月,2019年08月,0.586034912718,cd,7.1,5.41666666667,0.347597725788
3.6,7.26,5年7个月,6.00万公里,4S店定期保养,非营运车,成都,国4,2018年03月,2019年03月,0.495867768595,cd,6.0,5.41666666667,-0.0165293019512
3.48,9.54,7年1个月,4.20万公里,4S店定期保养,非营运车,成都,国4,2017年09月,2017年09月,0.364779874214,cd,4.2,7.58333333333,-0.554677506295
46.8,195.17,6年3个月,13.00万公里,4S店定期保养,非营运车,成都,欧5,2019年07月,2019年07月,0.239790951478,cd,13.0,6.5,-1.15382595104
4.18,8.56,6年2个月,7.00万公里,4S店定期保养,非营运车,成都,国4,2019年08月,2019年08月,0.488317757009,cd,7.0,6.5,-0.0467374778517
23.8,37.88,2年8个月,5.80万公里,4S店定期保养,非营运车,成都,国4,2019年02月,2018年02月,0.628299894403,cd,5.8,2.16666666667,0.524930229948
9.6,20.27,3年9个月,8.99万公里,4S店定期保养,非营运车,成都,"国4,京5",2018年01月,2018年01月,0.473606314751,cd,8.99,3.25,-0.10567296684
21.8,33.64,2年,4.70万公里,4S店定期保养,非营运车,成都,"国4,国5",2017年10月,2017年10月,0.648038049941,cd,4.7,2.16666666667,0.610426340339
8.8,16.69,3年,4.00万公里,4S店定期保养,非营运车,成都,"国4,OBD",2018年10月,2017年10月,0.527261833433,cd,4.0,3.25,0.109155586626
55.8,108.33,6年4个月,19.60万公里,4S店定期保养,非营运车,成都,国4,2019年06月,2019年06月,0.515092772085,cd,19.6,6.5,0.0603894344214
13.2,30.61,4年11个月,9.40万公里,4S店定期保养,非营运车,成都,欧4,2018年11月,2017年11月,0.431231623652,cd,9.4,4.33333333333,-0.276827924188
11.8,29.95,5年7个月,7.00万公里,4S店定期保养,非营运车,成都,国4,2018年03月,2019年03月,0.393989983306,cd,7.0,5.41666666667,-0.430571029239
16.58,23.0,1年5个月,2.60万公里,4S店定期保养,非营运车,成都,国5,2018年05月,已到期,0.720869565217,cd,2.6,1.08333333333,0.948779032005
7.8,15.17,6年4个月,8.00万公里,4S店定期保养,非营运车,成都,国4,2019年06月,2019年06月,0.514172709295,cd,8.0,6.5,0.0567060274943
17.56,20.93,7个月,1.90万公里,4S店定期保养,非营运车,成都,国5,2019年03月,2018年03月,0.838987099857,cd,1.9,7.58333333333,1.65071084384
38.6,48.95,2年6个月,7.40万公里,4S店定期保养,非营运车,成都,欧4,2019年04月,2019年04月,0.788559754852,cd,7.4,2.16666666667,1.31626575676
11.8,23.53,3年1个月,4.00万公里,4S店定期保养,非营运车,成都,"国4,京5",2018年09月,2019年09月,0.501487462813,cd,4.0,3.25,0.00594986880624
6.08,10.4,4年7个月,6.00万公里,4S店定期保养,非营运车,成都,国4,2019年03月,2019年03月,0.584615384615,cd,6.0,4.33333333333,0.341749293722
52.8,92.05,3年5个月,10.70万公里,4S店定期保养,非营运车,成都,欧5,2018年05月,2019年05月,0.573601303639,cd,10.7,3.25,0.296559746484
25.38,36.88,1年4个月,0.40万公里,4S店定期保养,非营运车,成都,国5,2018年06月,2019年06月,0.688177874187,cd,0.4,1.08333333333,0.791614426917
6.5,10.83,5年2个月,7.00万公里,4S店定期保养,非营运车,成都,"欧4,OBD",2018年08月,2019年08月,0.600184672207,cd,7.0,5.41666666667,0.406234634887
23.7,29.29,2年1个月,1.80万公里,4S店定期保养,非营运车,成都,国5,2017年09月,2017年09月,0.809149880505,cd,1.8,2.16666666667,1.44449576097
8.9,12.9,2年,3.00万公里,4S店定期保养,非营运车,成都,"国4,国5",2017年10月,2017年10月,0.68992248062,cd,3.0,2.16666666667,0.799756915618
15.3,25.27,2年,3.00万公里,4S店定期保养,非营运车,成都,国5,2017年10月,2017年10月,0.605461020973,cd,3.0,2.16666666667,0.428272244425
63.8,88.79,2年1个月,0.15万公里,4S店定期保养,非营运车,成都,国5,2017年09月,2017年09月,0.718549386192,cd,0.15,2.16666666667,0.937277445504
12.8,21.7,2年10个月,5.80万公里,4S店定期保养,非营运车,成都,"国4,国5",2018年12月,2017年12月,0.589861751152,cd,5.8,2.16666666667,0.363393894187
78.8,98.76,9个月,0.17万公里,4S店定期保养,非营运车,成都,国5,2019年01月,2018年01月,0.797893884164,cd,0.17,9.75,1.37318272598
72.98,100.6,9个月,0.24万公里,4S店定期保养,非营运车,成都,国5,2019年01月,2018年01月,0.725447316103,cd,0.24,9.75,0.971645283027
20.88,24.51,1年4个月,1.00万公里,4S店定期保养,非营运车,成都,国5,2018年06月,2018年06月,0.851897184823,cd,1.0,1.08333333333,1.74955911474
128.0,285.26,4年5个月,2.00万公里,4S店定期保养,非营运车,成都,"国4,京5",2019年05月,2019年05月,0.448713454392,cd,2.0,4.33333333333,-0.205870222644
29.58,46.41,3年11个月,8.00万公里,4S店定期保养,非营运车,成都,国4,2017年11月,2017年11月,0.637362637363,cd,8.0,3.25,0.56393544908
17.8,24.94,2年7个月,6.90万公里,4S店定期保养,非营运车,成都,国5,2019年03月,2019年03月,0.713712910986,cd,6.9,2.16666666667,0.913485680947
7.68,10.38,3个月,0.50万公里,4S店定期保养,非营运车,成都,"国4,国5",2019年07月,2018年07月,0.739884393064,cd,0.5,3.25,1.04536777415
24.0,92.05,6年1个月,10.00万公里,4S店定期保养,非营运车,成都,欧4,2017年09月,2017年09月,0.260727865291,cd,10.0,6.5,-1.04218889875
11.5,14.85,1年1个月,2.00万公里,4S店定期保养,非营运车,成都,国5,2018年09月,2019年09月,0.774410774411,cd,2.0,1.08333333333,1.23338668953
15.7,28.11,5年4个月,5.13万公里,4S店定期保养,非营运车,成都,欧5,2018年06月,2018年06月,0.558520099609,cd,5.13,5.41666666667,0.235158113138
5.98,14.42,6年6个月,8.00万公里,4S店定期保养,非营运车,成都,国4,2019年04月,2019年04月,0.414701803051,cd,8.0,6.5,-0.344561740645
14.8,19.84,2年2个月,2.50万公里,4S店定期保养,非营运车,成都,"国4,国5",2019年08月,2019年08月,0.745967741935,cd,2.5,2.16666666667,1.07722109869
8.9,40.63,9年9个月,18.50万公里,非4S店定期保养,非营运车,成都,国4,2018年01月,2018年01月,0.219049963081,cd,18.5,9.75,-1.27121132886
39.8,130.26,5年11个月,7.00万公里,4S店定期保养,非营运车,成都,欧4,2018年01月,2018年01月,0.305542760633,cd,7.0,5.41666666667,-0.821040851759
24.9,46.41,5年,6.00万公里,4S店定期保养,非营运车,成都,国4,2018年10月,2017年10月,0.536522301228,cd,6.0,5.41666666667,0.146349860191
4.6,10.94,5年3个月,12.00万公里,非4S店定期保养,非营运车,成都,国4,2018年07月,2018年07月,0.420475319927,cd,12.0,5.41666666667,-0.320822464954
32.8,49.61,3年1个月,5.95万公里,4S店定期保养,非营运车,成都,"国4,京5",2018年09月,2017年09月,0.661157024793,cd,5.95,3.25,0.66845456797
19.88,34.19,3年2个月,8.00万公里,4S店定期保养,非营运车,成都,欧4,2018年08月,2019年08月,0.581456566247,cd,8.0,3.25,0.32875560766
10.8,19.52,1年6个月,1.80万公里,4S店定期保养,非营运车,成都,"OBD,国5",2018年04月,2019年04月,0.553278688525,cd,1.8,1.08333333333,0.213926896209
6.5,8.67,1年8个月,4.00万公里,4S店定期保养,非营运车,成都,"国4,国5",2018年02月,2019年02月,0.749711649366,cd,4.0,1.08333333333,1.09707500935
20.8,46.13,5年6个月,8.90万公里,4S店定期保养,非营运车,成都,欧4,2018年04月,2019年04月,0.450899631476,cd,8.9,5.41666666667,-0.197036477306
7.67,13.98,4年3个月,4.00万公里,4S店定期保养,非营运车,成都,"国4,国5",2019年07月,2019年07月,0.548640915594,cd,4.0,4.33333333333,0.195180938826
28.98,79.02,5年11个月,10.30万公里,4S店定期保养,非营运车,成都,欧4,2017年11月,2017年11月,0.366742596811,cd,10.3,5.41666666667,-0.546216748706
59.5,90.96,2年2个月,3.80万公里,4S店定期保养,非营运车,成都,欧5,2019年08月,2019年08月,0.654133685136,cd,3.8,2.16666666667,0.637259414921
5.8,6.94,2年6个月,4.50万公里,4S店定期保养,非营运车,成都,国5,2019年04月,2019年04月,0.835734870317,cd,4.5,2.16666666667,1.62682965515
20.8,34.19,3年3个月,6.20万公里,4S店定期保养,非营运车,成都,欧4,2018年07月,已到期,0.608365019011,cd,6.2,3.25,0.440444827004
45.8,86.62,3年3个月,6.30万公里,4S店定期保养,非营运车,成都,欧4,2018年07月,2019年07月,0.52874624798,cd,6.3,3.25,0.115111933738
22.98,33.95,2年6个月,5.30万公里,4S店定期保养,非营运车,成都,"国4,国5",2019年04月,2019年04月,0.676877761414,cd,5.3,2.16666666667,0.739459998133
