,GPS导航,city,depre,miles,y,years,上牌城市,上牌时间,主副驾驶安全气囊,事故排查,仪表台指示灯,供油方式,倒车影像系统,倒车雷达,儿童座椅接口,全景天窗,公里数,内部配置,前制动类型,前后排侧气囊,前后排头部气囊,前后排座椅加热,前后电动车窗,前悬挂类型,前轮胎规格,助力类型,卖家报价(万),厂商,发动机,发动机状态,变速箱1,变速箱及转向,变速箱详情,后制动类型,后悬挂类型,后视镜加热,后视镜电动调节,后视镜电动调节.1,后轮胎规格,外观件更换检测,外部配置,多功能方向盘,安全系统,定速巡航,底盘悬架项,总车型,感应后备箱,感应雨刷,排放标准,排放标准.1,排量,整备质量,新车指导价(万),无钥匙启动系统,最大扭矩,最大马力,服务费,机舱项,款式年份,气缸,泡水排查,漆面修复检测,火烧排查,灯光系统,燃料类型,燃油标号,电动吸合门,电动天窗,真皮座椅,空调,级别,缺陷项检测,胎压检测,自动空调,行李容积,车内中控锁,车型1,车身稳定控制,车身结构,轴承,进气形式,钣金修复检测,长宽高,防抱死系统,随车工具,驱动方式,驻车制动类型,高科技配置
10,无,cd,0.56619047619,9.96,0.266324999431,2.75,成都,2014-09,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,9.96万公里,0.0,通风盘式,正常/正常,正常/正常,标配/无,无,麦弗逊式独立悬架,225/55 R17,电动助力,11.89,上汽通用别克,2.0L 154马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,多连杆独立悬架,标配,标配/标配,标配,225/55 R17,0.0,0.0,标配,0.0,标配,0.0,别克君威 2014款 2.0L 精英时尚型,无,无,国四,国四,2.0,1585,21.0,标配,190,154.0,4756元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,9.0,0.0,0.0,汽油,92号,无,标配,无,无,中型车,1.0,标配,无,442,标配,别克君威,标配,4门5座三厢车,2737,自然吸气,0.0,4843/1856/1484,标配,0.0,,-,0.0
11,无,cd,0.550561797753,9.08,0.202940843997,2.5,成都,2014-12,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,无,9.08万公里,0.0,通风盘式,正常/正常,正常/正常,无/无,标配,双叉臂式独立悬架,225/60 R17,机械液压助力,9.8,广汽乘用车,1.8T 177马力 L4,0.0,自动,0.0,7档双离合变速箱(DCT),盘式,多连杆独立悬架,标配,标配/标配,标配,225/60 R17,2.0,0.0,标配,0.0,标配,0.0,传祺GS5 2015款 1.8T 自动两驱精英版,无,无,国五,国五,1.8,1665,17.8,标配,242,177.0,3920元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,6.0,0.0,0.0,汽油,92号,无,标配,标配,标配,紧凑型SUV,2.0,无,标配,480-13,标配,传祺GS5,标配,5门5座SUV,2710,涡轮增压,2.0,4750/1854/1690,标配,0.0,-,-,0.0
12,无,cd,0.580606060606,9.11,0.325261822353,2.41666666667,资阳,2015-01,正常/正常,0.0,0.0,多点电喷,无,标配,标配,标配,9.11万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,9.58,上汽斯柯达,1.6L 110马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,扭力梁式非独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,标配,0.0,标配,0.0,斯柯达明锐 2015款 1.6L 自动逸俊版,无,无,国五,国五,1.6,1250,16.5,无,155,110.0,3832元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,标配,标配,标配,紧凑型车,2.0,标配,无,590-15,标配,斯柯达明锐,标配,5门5座掀背车,2686,自然吸气,0.0,4659/1814/1460,标配,0.0,,-,0.0
13,无,cd,0.709,4.13,0.890532259361,1.33333333333,雅安,2016-02,正常/正常,0.0,0.0,直喷,无,标配,标配,无,4.13万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,225/50 R17,电动助力,14.18,上汽大众,1.4T 150马力 L4,0.0,自动,0.0,7档双离合变速箱(DCT),盘式,多连杆独立悬架,标配,标配/标配,标配,225/50 R17,0.0,0.0,标配,0.0,标配,0.0,大众凌渡 2015款 280TSI DSG舒适版,无,无,国五,国五,1.4,1365,20.0,无,250,150.0,5672元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,95号,无,标配,标配,标配,紧凑型车,3.0,标配,标配,480-11,标配,大众凌渡,标配,4门5座三厢车,2656,涡轮增压,0.0,4598/1826/1425,标配,0.0,,-,0.0
14,无,cd,0.727272727273,5.9,0.980829253012,1.91666666667,成都,2015-07,正常/正常,0.0,0.0,混合喷射,无,无,标配,无,5.9万公里,0.0,通风盘式,正常/无,无/无,标配/无,无,麦弗逊式独立悬架,215/60 R16,电动助力,15.2,广汽丰田,2.0L 167马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,双连杆独立悬架,标配,标配/标配,标配,215/60 R16,0.0,0.0,标配,0.0,无,0.0,丰田凯美瑞 2015款 2.0G 领先版,无,无,国四,国四,2.0,1475,20.9,无,199,167.0,6080元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,标配,标配,中型车,3.0,无,标配,-,标配,丰田凯美瑞,标配,4门5座三厢车,2775,自然吸气,0.0,4850/1825/1480,标配,0.0,,-,0.0
15,无,cd,0.247126436782,5.85,-1.11399720751,1.83333333333,成都,2015-08,正常/正常,0.0,0.0,慢充8-10小时,无,无,无,无,5.85万公里,0.0,盘式,无/无,无/无,无/无,标配,麦弗逊式独立悬架,165/60 R14,电动助力,4.3,奇瑞新能源,57马力 --,0.0,自动,0.0,1档固定齿比变速箱,鼓式,纵向拖曳臂式非独立悬架,无,标配/标配,标配,165/60 R14,0.0,0.0,无,0.0,无,0.0,奇瑞eQ 2015款 舒适型,无,无,国四,-,永磁 / 同步,1128,17.4,无,150,41.8,3500元（车价x4%，最低3500元） ,0.0,2015款,22.3,0.0,0.0,0.0,0.0,8年或12万公里,-,无,无,无,标配,微型车,2.0,无,无,-,标配,奇瑞eQ,无,5门4座两厢车,2340,锂离子电池,0.0,3564/1620/1527,无,0.0,,-,0.0
16,无,cd,0.679,7.19,0.749180004429,2.08333333333,成都,2015-05,正常/正常,0.0,0.0,直喷,无,标配,标配,无,7.19万公里,0.0,通风盘式,正常/无,正常/正常,无/无,无,麦弗逊式独立悬架,225/50 R17,电动助力,13.58,上汽大众,1.4T 150马力 L4,0.0,自动,0.0,7档双离合变速箱(DCT),盘式,多连杆独立悬架,标配,标配/标配,标配,225/50 R17,0.0,0.0,标配,0.0,标配,0.0,大众凌渡 2015款 280TSI DSG舒适版,无,无,国四,国四,1.4,1365,20.0,无,250,150.0,5432元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,3.0,0.0,0.0,汽油,95号,无,标配,标配,标配,紧凑型车,3.0,标配,标配,480-11,标配,大众凌渡,标配,4门5座三厢车,2656,涡轮增压,5.0,4598/1826/1425,标配,0.0,,-,0.0
17,无,cd,0.685714285714,6.1,0.78015855755,1.25,成都,2016-03,正常/正常,0.0,0.0,直喷,无,标配,标配,无,6.1万公里,0.0,通风盘式,正常/无,正常/正常,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,12.0,一汽-大众,1.4T 131马力 L4,0.0,自动,0.0,7档双离合变速箱(DCT),盘式,多连杆独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,无,0.0,标配,0.0,大众速腾 2015款 230TSI 自动舒适型,无,无,国五,国五,1.4,1380,17.5,无,225,131.0,4800元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,95号,无,标配,标配,标配,紧凑型车,1.0,标配,无,510,标配,大众速腾,标配,4门5座三厢车,2651,涡轮增压,0.0,4655/1780/1453,标配,0.0,,-,0.0
18,标配,cd,0.675882352941,4.9,0.734912468696,1.41666666667,成都,2016-01,正常/正常,0.0,0.0,直喷,标配,标配,标配,标配,4.9万公里,0.0,通风盘式,正常/无,正常/正常,无/无,无,双叉臂式独立悬架,245/45 R18,电动助力,11.49,吉利汽车,1.8T 163马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,多连杆独立悬架,标配,标配/标配,标配,245/45 R18,0.0,0.0,标配,0.0,标配,0.0,吉利博瑞 2015款 1.8T 尊贵型,无,标配,国五,国五,1.8,1760,17.0,标配,250,163.0,4596元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,3.0,0.0,0.0,汽油,92号,无,标配,标配,标配,中型车,2.0,标配,标配,-,标配,吉利博瑞,标配,4门5座三厢车,2850,涡轮增压,0.0,4956/1861/1513,标配,0.0,,-,0.0
19,无,cd,0.742268041237,5.19,1.05779029415,1.0,成都,2016-06,正常/正常,0.0,0.0,多点电喷,无,加装,标配,无,5.19万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,185/60 R15,电动助力,7.2,一汽丰田,1.5L 107马力 L4,0.0,自动,0.0,4档自动变速箱(AT),鼓式,扭力梁式非独立悬架,无,标配/标配,标配,185/60 R15,0.0,0.0,无,0.0,无,0.0,丰田威驰 2016款 1.5L 自动智臻星耀版,无,无,国四,国四,1.5,1045,9.7,无,140,107.0,3500元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,无,无,标配,小型车,1.0,无,无,476,标配,丰田威驰,无,4门5座三厢车,2550,自然吸气,0.0,4410/1700/1490,标配,0.0,,-,0.0
20,标配,cd,0.693805309735,5.13,0.817970245293,1.41666666667,成都,2016-01,正常/正常,0.0,0.0,直喷,标配,标配,标配,标配,5.13万公里,0.0,通风盘式,正常/无,正常/正常,标配/无,无,麦弗逊式独立悬架,235/45 R18,电动助力,15.68,北京现代,1.6T 180马力 L4,0.0,自动,0.0,7档双离合变速箱(DCT),盘式,多连杆独立悬架,标配,标配/标配,标配,235/45 R18,0.0,0.0,标配,0.0,标配,0.0,现代索纳塔九 2015款 1.6T GLX领先型,无,无,国五,国五,1.6,1566,22.6,标配,265,180.0,6272元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,5.0,0.0,0.0,汽油,92号,无,标配,标配,标配,中型车,3.0,标配,标配,510,标配,现代索纳塔九,标配,4门5座三厢车,2805,涡轮增压,4.0,4855/1865/1485,标配,0.0,,-,0.0
21,无,cd,0.666666666667,7.6,0.69314718056,1.5,成都,2015-12,正常/正常,0.0,0.0,多点电喷,无,无,标配,无,7.6万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,175/70 R14,电动助力,6.0,一汽-大众,1.4L 90马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,复合扭力梁式非独立悬架,无,标配/标配,无,175/70 R14,0.0,0.0,无,0.0,无,0.0,大众捷达 2015款 1.4L 手动时尚型,无,无,国四,国四,1.4,1120,9.0,无,132,90.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,1.0,无,无,466,标配,大众捷达,无,4门5座三厢车,2603,自然吸气,1.0,4487/1706/1470,标配,0.0,,-,0.0
22,标配,cd,0.551533742331,8.6,0.206869574722,2.16666666667,成都,2015-04,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,无,8.6万公里,0.0,通风盘式,无/无,无/无,无/无,标配,麦弗逊式独立悬架,215/55 R17,电动助力,8.99,东风裕隆,1.8T 180马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,扭力梁式非独立悬架,无,标配/标配,标配,215/55 R17,1.0,0.0,无,0.0,无,0.0,纳智捷优6 SUV 2015款 1.8T 时尚型,无,无,国四,国四,1.8,1500,16.3,无,256,180.0,3596元（车价x4%，最低3500元） ,0.0,SUV,L4,0.0,2.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型SUV,1.0,无,标配,-,标配,纳智捷优6,标配,5门5座SUV,2720,涡轮增压,1.0,4625/1825/1620,标配,0.0,,-,0.0
23,无,cd,0.628235294118,6.36,0.524653625373,1.83333333333,成都,2015-08,正常/正常,0.0,0.0,直喷,无,标配,标配,无,6.36万公里,0.0,通风盘式,正常/无,正常/正常,标配/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,10.68,一汽-大众,1.4T 131马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,多连杆独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,标配,1.0,标配,0.0,大众速腾 2015款 230TSI 手动豪华型,无,标配,国五,国五,1.4,1360,17.0,标配,225,131.0,4272元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,4.0,0.0,0.0,汽油,95号,无,标配,标配,标配,紧凑型车,4.0,标配,标配,510,标配,大众速腾,标配,4门5座三厢车,2651,涡轮增压,3.0,4655/1780/1453,标配,0.0,,-,0.0
24,标配,cd,0.734210526316,4.32,1.01609126498,1.25,德阳,2016-03,正常/正常,1.0,0.0,多点电喷,无,标配,标配,无,4.32万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,195/55 R15,机械液压助力,5.58,长安汽车,1.6L 124马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,扭力梁式非独立悬架,标配,标配/标配,标配,195/55 R15,0.0,0.0,标配,0.0,无,0.0,长安悦翔V7 2015款 1.6L 手动乐享型 国IV,无,无,国四,国四,1.6,1220,7.6,无,156,124.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,1.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型车,5.0,无,无,410,标配,长安悦翔V7,标配,4门5座三厢车,2610,自然吸气,0.0,4530/1745/1498,标配,0.0,,-,0.0
25,标配,cd,0.644171779141,4.5,0.593517339611,1.33333333333,成都,2016-02,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,无,4.5万公里,0.0,通风盘式,无/无,无/无,无/无,标配,麦弗逊式独立悬架,215/55 R17,电动助力,10.5,东风裕隆,1.8T 180马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,扭力梁式非独立悬架,无,标配/标配,标配,215/55 R17,0.0,0.0,无,0.0,无,0.0,纳智捷优6 SUV 2015款 1.8T 时尚升级型,无,无,国四,国四,1.8,1500,16.3,无,256,180.0,4200元（车价x4%，最低3500元） ,0.0,SUV,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型SUV,3.0,无,标配,-,标配,纳智捷优6,标配,5门5座SUV,2720,涡轮增压,3.0,4625/1825/1620,标配,0.0,,-,0.0
26,加装,cd,0.53125,9.39,0.125163142954,2.91666666667,成都,2014-07,正常/正常,0.0,0.0,多点电喷,加装,标配,标配,无,9.39万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,机械液压助力,6.8,东风雪铁龙,1.6L 117马力 L4,0.0,自动,0.0,4档手自一体变速箱(AT),盘式,可变形横梁式，带横向稳定杆,无,标配/标配,标配,205/55 R16,3.0,0.0,标配,0.0,标配,0.0,雪铁龙世嘉 2013款 三厢 1.6L 自动品尚型,无,无,国四,国四,1.6,1350,12.8,无,150,117.0,3500元（车价x4%，最低3500元） ,0.0,2013款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,1.0,无,无,481,标配,雪铁龙世嘉,无,4门5座三厢车,2610,自然吸气,2.0,4588/1773/1486,标配,0.0,,-,0.0
27,无,cd,0.725925925926,5.51,0.974049566026,1.66666666667,成都,2015-10,正常/正常,0.0,0.0,多点电喷,无,无,标配,无,5.51万公里,0.0,通风盘式,正常/无,正常/正常,无/无,无,麦弗逊式独立悬架,205/60 R16,机械液压助力,9.8,长安福特,1.6L 125马力 L4,0.0,自动,0.0,6档双离合变速箱(DCT),盘式,多连杆独立悬架,无,标配/标配,标配,205/60 R16,0.0,0.0,无,0.0,无,0.0,福特福克斯 2015款 三厢 1.6L 自动舒适型,无,无,国五,国五,1.6,1336,13.5,无,159,125.0,3920元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,5.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,2.0,无,无,530,标配,福特福克斯,标配,4门5座三厢车,2648,自然吸气,2.0,4534/1823/1483,标配,0.0,,-,0.0
28,标配,cd,0.577685950413,10.21,0.31328115203,3.08333333333,遂宁,2014-05,正常/正常,0.0,0.0,直喷,标配,标配,标配,无,10.21万公里,0.0,通风盘式,正常/无,正常/正常,标配/无,无,麦弗逊式独立悬架,235/50 R17,电动助力,13.98,长安福特,2.0T 203马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,多连杆独立悬架,标配,标配/标配,标配,235/50 R17,1.0,0.0,标配,0.0,标配,0.0,福特蒙迪欧 2013款 2.0L GTDi200豪华型,无,标配,国四,国四,2.0,1659,24.2,标配,340,203.0,5592元（车价x4%，最低3500元） ,0.0,2013款,L4,0.0,4.0,0.0,0.0,汽油,92号,无,标配,无,标配,中型车,3.0,标配,标配,516-98,标配,福特蒙迪欧,标配,4门5座三厢车,2850,涡轮增压,7.0,4860/1854/1480,标配,0.0,,-,0.0
29,加装,cd,0.548387096774,8.46,0.194156014441,1.58333333333,成都,2015-11,正常/正常,0.0,0.0,多点电喷,加装,标配,标配,无,8.46万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,185/60 R15,机械液压助力,3.4,奇瑞汽车,1.5L 109马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,扭力梁式非独立悬架,标配,标配/标配,标配,185/60 R15,1.0,0.0,无,0.0,无,0.0,奇瑞E3 2015款 1.5L 手动风尚型,无,无,国四,国四,1.5,1208,6.2,无,140,109.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,无,无,标配,小型车,4.0,无,无,502,标配,奇瑞E3,无,4门5座三厢车,2570,自然吸气,3.0,4450/1748/1493,标配,0.0,,-,0.0
