总车型,车型1,款式年份,卖家报价(万),新车指导价(万),上牌时间,公里数,上牌城市,排放标准,变速箱1,服务费,厂商,级别,发动机,变速箱详情,车身结构,长宽高,轴承,行李容积,整备质量,排量,进气形式,气缸,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,排放标准,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驻车制动类型,前轮胎规格,后轮胎规格,主副驾驶安全气囊,前后排侧气囊,前后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动系统,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,前后电动车窗,后视镜电动调节,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前后排座椅加热,事故排查,泡水排查,火烧排查,机舱项,底盘悬架项,安全系统,外部配置,内部配置,灯光系统,高科技配置,随车工具,仪表台指示灯,发动机状态,变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测
奔驰C级 2016款 C 180 L 运动型,奔驰C级,2016款,28.50,35.40,2016-07,1.4万公里,眉山,国五,自动,11400元（车价x4%，最低3500元） ,北京奔驰,中型车,1.6T 156马力 L4,7档手自一体变速箱(AT),4门5座三厢车,4783/1810/1442,2920,-,-,1.6,涡轮增压,L4,156,250,汽油,95号,直喷,国五,-,电动助力,多连杆独立悬架,多连杆独立悬架,通风盘式,盘式,-,225/50 R17,225/50 R17,正常/正常,正常/无,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
比亚迪S7 2015款 2.0TID 双离合 尊贵型,比亚迪S7,2015款,8.50,14.10,2015-01,3.3万公里,眉山,国五,自动,3500元（车价x4%，最低3500元） ,比亚迪,中型SUV,2.0T 205马力 L4,6档双离合变速箱(DCT),5门7座SUV,4835/1855/1720,2730,365-23,1750,2.0,涡轮增压,L4,205,320,汽油,92号,直喷,国五,,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/55 R18,235/55 R18,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,无,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
标致207 2011款 三厢 1.4L 手动驭乐版,标致207,2011款,3.25,8.10,2013-10,4.61万公里,成都,国四,手动,3500元（车价x4%，最低3500元） ,东风标致,小型车,1.4L 76马力 L4,5档手动变速箱(MT),4门5座三厢车,4260/1680/1468,2450,384,1091,1.4,自然吸气,L4,76,120,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架，螺旋弹簧,纵向摆臂独立悬架带横向稳定杆,通风盘式,鼓式,-,185/65 R14,185/65 R14,正常/正常,无/无,无/无,无,标配,无,无,标配,无,无,无,无,无,无,无,标配/标配,标配,无,无,无,标配,无,加装,标配,加装,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
铃木天语 SX4 2011款 改款 1.6L 自动灵动型,铃木天语,SX4,4.98,11.80,2012-05,4.56万公里,眉山,国四,自动,3500元（车价x4%，最低3500元） ,长安铃木,紧凑型车,1.6L 109马力 L4,4档自动变速箱(AT),5门5座两厢车,4135/1755/1605,2500,225-10,1225,1.6,自然吸气,L4,109,144,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,纵臂扭力梁式非独立悬架,通风盘式,盘式,-,205/60 R16,205/60 R16,正常/正常,无/无,无/无,无,标配,无,无,标配,无,无,无,无,无,无,标配,标配/标配,标配,无,标配,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
雪佛兰科鲁兹 2012款 1.6L SE MT,雪佛兰科鲁兹,2012款,5.30,13.00,2012-08,6.1万公里,成都,国四,手动,3500元（车价x4%，最低3500元） ,上汽通用雪佛兰,紧凑型车,1.6L 117马力 L4,5档手动变速箱(MT),4门5座三厢车,4598/1797/1477,2685,400,1360,1.6,自然吸气,L4,117,150,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/60 R16,205/60 R16,正常/正常,正常/无,无/无,无,标配,标配,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,无,无,无,标配,无,加装,标配,加装,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,0
大众朗逸 2011款 1.6L 自动品雅版,大众朗逸,2011款,6.50,14.60,2012-10,6.39万公里,成都,国四,自动,3500元（车价x4%，最低3500元） ,上汽大众,紧凑型车,1.6L 105马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4608/1743/1465,2610,472,1285,1.6,自然吸气,L4,105,155,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/无,无/无,标配,标配,标配,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,标配,无,无,标配,无,无,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,0
现代悦动 2011款 1.6L 自动豪华型,现代悦动,2011款,5.28,13.10,2013-07,7.58万公里,眉山,国四,自动,3500元（车价x4%，最低3500元） ,北京现代,紧凑型车,1.6L 123马力 L4,4档自动变速箱(AT),4门5座三厢车,4543/1777/1490,2650,475,1215,1.6,自然吸气,L4,123,155,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,195/65 R15,195/65 R15,正常/正常,无/无,无/无,无,标配,无,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,标配,标配,无,标配,标配,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2
福特嘉年华 2009款 两厢 1.5L 手动时尚型,福特嘉年华,2009款,3.20,9.50,2010-05,6.1万公里,成都,国四,手动,3500元（车价x4%，最低3500元） ,长安福特,小型车,1.5L 103马力 L4,5档手动变速箱(MT),5门5座两厢车,3950/1722/1467,2490,270,1080,1.5,自然吸气,L4,103,138,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,鼓式,-,185/55 R15,185/55 R15,正常/正常,正常/无,无/无,无,标配,标配,无,标配,无,无,无,无,无,无,标配,标配/标配,标配,无,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,3,1
长安商用长安之星2 2012款 1.0L基本型JL466Q9,长安商用长安之星2,2012款,1.08,3.70,2012-05,3.54万公里,自贡,国四,手动,3000元（车价x4%，最低3000元） ,长安汽车,微面,1.0L 69马力 L4,5档手动变速箱(MT),客车,3860/1580/1900,2500,-,-,1.0,自然吸气,L4,69,92,汽油,92号,多点电喷,国四,,无助力,麦弗逊式独立悬挂,钢板弹簧非独立悬架,盘式,鼓式,-,165 R13LT,165 R13LT,无/无,无/无,无/无,无,无,无,无,无,无,无,无,无,无,无,无,无/无,无,无,无,无,加装,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
雪佛兰迈锐宝 2014款 2.0L 自动豪华版,雪佛兰迈锐宝,2014款,11.00,20.30,2014-09,4.82万公里,成都,国四,自动,4400元（车价x4%，最低3500元） ,上汽通用雪佛兰,中型车,2.0L 154马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4869/1854/1472,2737,544,1565,2.0,自然吸气,L4,154,190,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,225/55 R17,225/55 R17,正常/正常,正常/无,无/无,无,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0
长安商用长安之星2 2012款 1.0L基本型JL466Q9,长安商用长安之星2,2012款,1.20,3.70,2012-07,4.31万公里,自贡,国四,手动,3000元（车价x4%，最低3000元） ,长安汽车,微面,1.0L 69马力 L4,5档手动变速箱(MT),客车,3860/1580/1900,2500,-,-,1.0,自然吸气,L4,69,92,汽油,92号,多点电喷,国四,,无助力,麦弗逊式独立悬挂,钢板弹簧非独立悬架,盘式,鼓式,-,165 R13LT,165 R13LT,无/无,无/无,无/无,无,无,无,无,无,无,无,无,无,无,无,无,无/无,无,无,无,无,加装,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
别克君越 2012款 2.4L SIDI豪华版,别克君越,2012款,11.00,29.90,2012-03,7.5万公里,达州,国四,自动,4400元（车价x4%，最低3500元） ,上汽通用别克,中型车,2.4L 186马力 L4,6档手自一体变速箱(AT),4门5座三厢车,5000/1858/1497,2837,-,1750,2.4,自然吸气,L4,186,240,汽油,92号,直喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,通风盘式,-,245/45 R18,245/45 R18,正常/正常,正常/无,正常/正常,标配,标配,标配,标配,标配,标配,标配,标配,无,无,无,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0
大众朗逸 2013款 1.4TSI 手动舒适版,大众朗逸,2013款,6.80,14.50,2012-09,6.2万公里,成都,国四,手动,3500元（车价x4%，最低3500元） ,上汽大众,紧凑型车,1.4T 131马力 L4,5档手动变速箱(MT),4门5座三厢车,4605/1765/1460,2610,478,1305,1.4,涡轮增压,L4,131,220,汽油,95号,直喷,国四,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/无,无/无,标配,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,无,无,标配,无,无,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2
本田思域 2013款 十周年纪念 1.8L 自动豪华版,本田思域,2013款,10.00,17.10,2014-07,3.8万公里,成都,国四,自动,4000元（车价x4%，最低3500元） ,东风本田,紧凑型车,1.8L 141马力 L4,5档自动变速箱(AT),4门5座三厢车,4535/1755/1450,2670,440,1280,1.8,自然吸气,L4,141,174,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,双横臂式独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/无,无/无,无,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,无,标配,标配,标配,标配,标配,标配,标配,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
大众POLO 2013款 1.6L 自动舒适版,大众POLO,2013款,6.60,12.10,2014-04,3.98万公里,成都,国四,自动,3500元（车价x4%，最低3500元） ,上汽大众,小型车,1.6L 105马力 L4,6档手自一体变速箱(AT),5门5座两厢车,3970/1682/1462,2470,250,1130,1.6,自然吸气,L4,105,155,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,鼓式,-,185/60 R15,185/60 R15,正常/正常,正常/无,无/无,无,标配,标配,无,标配,无,无,无,无,无,无,标配,标配/标配,标配,标配,无,无,标配,无,无,标配,无,加装,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0
比亚迪S7 2015款 1.5T 升级版 手动尊贵型,比亚迪S7,2015款,7.20,12.70,2015-12,2.3万公里,成都,国四,手动,3500元（车价x4%，最低3500元） ,比亚迪,中型SUV,1.5T 154马力 L4,6档手动变速箱(MT),5门7座SUV,4835/1855/1720,2730,365-23,1630,1.5,涡轮增压,L4,154,240,汽油,92号,直喷,国四,,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,225/65 R17,225/65 R17,正常/正常,正常/无,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,无,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
奇瑞瑞虎5 2014款 2.0L CVT家悦版,奇瑞瑞虎5,2014款,6.00,12.30,2014-09,9.54万公里,成都,国四,自动,3500元（车价x4%，最低3500元） ,奇瑞汽车,紧凑型SUV,2.0L 139马力 L4,7档无级变速箱(CVT),5门5座SUV,4506/1841/1740,2610,370,1537,2.0,自然吸气,L4,139,182,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,双连杆独立悬架,通风盘式,盘式,-,225/65 R17,225/65 R17,正常/正常,无/无,无/无,无,标配,标配,标配,标配,无,标配,无,无,无,无,标配,标配/标配,标配,无,标配,标配,标配,无,标配,标配,标配,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,0
起亚K3 2013款 1.6L 手动GLS,起亚K3,2013款,6.38,12.50,2013-01,5.4万公里,达州,国四,手动,3500元（车价x4%，最低3500元） ,东风悦达起亚,紧凑型车,1.6L 128马力 L4,6档手动变速箱(MT),4门5座三厢车,4600/1780/1445,2700,-,1230,1.6,自然吸气,L4,128,156,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/无,无/无,无,标配,标配,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,无,标配,无,标配,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
大众朗逸 2013款 改款 1.6L 自动豪华版,大众朗逸,2013款,8.56,15.90,2014-05,6.6万公里,成都,国四,自动,3500元（车价x4%，最低3500元） ,上汽大众,紧凑型车,1.6L 110马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4605/1765/1460,2610,478,-,1.6,自然吸气,L4,110,155,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/无,正常/正常,标配,标配,标配,无,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
长安悦翔V3 2012款 1.3L 手动豪华型 国IV,长安悦翔V3,2012款,2.30,5.30,2013-05,5.7万公里,达州,国四,手动,3000元（车价x4%，最低3000元） ,长安汽车,小型车,1.3L 94马力 L4,5档手动变速箱(MT),4门5座三厢车,4180/1650/1465,2410,-,985,1.3,自然吸气,L4,94,121,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,鼓式,-,175/65 R14,175/65 R14,正常/正常,无/无,无/无,无,标配,标配,无,标配,无,无,无,无,无,无,无,标配/标配,标配,无,无,无,标配,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1
大众桑塔纳 2013款 1.6L 自动舒适版,大众桑塔纳,2013款,6.85,12.40,2014-07,3.14万公里,成都,国四,自动,3500元（车价x4%，最低3500元） ,上汽大众,紧凑型车,1.6L 110马力 L4,6档自动变速箱(AT),4门5座三厢车,4473/1706/1469,2603,466,1160,1.6,自然吸气,L4,110,155,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,复合扭力梁式非独立悬架,通风盘式,鼓式,-,185/60 R15,185/60 R15,正常/正常,正常/无,正常/正常,无,标配,标配,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,标配,无,无,标配,无,加装,无,加装,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
吉利帝豪 2016款 三厢 1.5L CVT向上版,吉利帝豪,2016款,6.50,9.90,2016-08,1.1万公里,内江,国四,自动,3500元（车价x4%，最低3500元） ,吉利汽车,紧凑型车,1.5L 109马力 L4,无级变速档无级变速箱(CVT),4门5座三厢车,4631/1789/1470,2650,680,1265,1.5,自然吸气,L4,109,140,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,扭力梁式后悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,无/无,无/无,标配,标配,标配,标配,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
福特嘉年华 2013款 两厢 1.5L 自动时尚型,福特嘉年华,2013款,6.00,10.70,2015-05,4.5万公里,昆明,国四,自动,3500元（车价x4%，最低3500元） ,长安福特,小型车,1.5L 110马力 L4,6档双离合变速箱(DCT),5门5座两厢车,3970/1722/1470,2495,270,1115,1.5,自然吸气,L4,110,140,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,鼓式,-,185/55 R15,185/55 R15,正常/正常,正常/无,无/无,无,标配,无,无,标配,标配,无,无,无,无,无,标配,标配/标配,标配,无,无,无,标配,无,无,加装,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
纳智捷大7 SUV 2014款 2.2T 两驱智慧型,纳智捷大7,SUV,14.50,24.60,2014-11,3.7万公里,南充,国四,自动,5800元（车价x4%，最低3500元） ,东风裕隆,中型SUV,2.2T 188马力 L4,5档手自一体变速箱(AT),5门5座SUV,4800/1930/1760,2910,-,1850,2.2,涡轮增压,L4,188,275,汽油,92号,多点电喷,国四,-,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,235/55 R18,235/55 R18,正常/正常,正常/无,正常/正常,无,标配,标配,标配,标配,标配,标配,无,无,无,无,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,无,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeep指南者 2014款 改款 2.4L 四驱舒适版(进口),Jeep指南者,2014款,15.98,26.70,2015-02,4.19万公里,内江,国四,自动,6392元（车价x4%，最低3500元） ,Jeep(进口),紧凑型SUV,2.4L 170马力 L4,6档手自一体变速箱(AT),5门5座SUV,4465/1812/1663,2635,-,1544,2.4,自然吸气,L4,170,220,汽油,92号,多点电喷,国四,适时四驱,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,215/60 R17,215/60 R17,正常/正常,正常/无,正常/正常,无,标配,标配,无,标配,标配,标配,无,无,无,无,标配,标配/标配,标配,标配,标配,标配,标配,标配,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0
中华V3 2016款 1.5L 手动精英型,中华V3,2016款,5.30,7.90,2016-07,1.3万公里,达州,国四,手动,3500元（车价x4%，最低3500元） ,华晨中华,小型SUV,1.5L 112马力 L4,5档手动变速箱(MT),5门5座SUV,4200/1790/1600,2570,455,1325,1.5,自然吸气,L4,112,145,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,215/60 R17,215/60 R17,正常/正常,无/无,无/无,无,标配,标配,无,标配,无,无,无,无,无,无,标配,标配/标配,标配,标配,标配,标配,标配,无,无,标配,标配,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
