总车型,车型1,款式年份,卖家报价(万),新车指导价(万),上牌时间,公里数,上牌城市,排放标准,变速箱1,服务费,厂商,级别,发动机,变速箱详情,车身结构,长宽高,轴承,行李容积,整备质量,排量,进气形式,气缸,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,排放标准,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驻车制动类型,前轮胎规格,后轮胎规格,主副驾驶安全气囊,前后排侧气囊,前后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动系统,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,前后电动车窗,后视镜电动调节,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前后排座椅加热,事故排查,泡水排查,火烧排查,机舱项,底盘悬架项,安全系统,外部配置,内部配置,灯光系统,高科技配置,随车工具,仪表台指示灯,发动机状态,变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测
奥迪Q5 2013款 40 TFSI 舒适型,奥迪Q5,2013款,33.00,52.30,2013-11,7.2万公里,廊坊,国四,自动,13200元（车价x4%，最低3500元） ,一汽-大众奥迪,中型SUV,2.0T 211马力 L4,8档手自一体变速箱(AT),5门5座SUV,4629/1898/1655,2807,540,-,2.0,涡轮增压,L4,211,350,汽油,95号,直喷,国四,全时四驱,电动助力,五连杆式独立悬架,梯形连杆式独立悬架,通风盘式,盘式,-,235/55 R19,235/55 R19,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,标配,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0
吉利GC7 2013款 1.5L 手动尊贵型,吉利GC7,2013款,4.50,7.20,2013-12,5.8万公里,张家口,国四,手动,3500元（车价x4%，最低3500元） ,吉利汽车,紧凑型车,1.5L 109马力 L4,5档手动变速箱(MT),4门5座三厢车,4547/1734/1470,2600,480,-,1.5,自然吸气,L4,109,140,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,纵向摆臂抗扭梁式复合后悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,无,无,无,无,无,无,无,标配/标配,标配,标配,标配,无,标配,标配,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
铃木锋驭 2014款 1.6L CVT两驱精英型,铃木锋驭,2014款,9.00,14.60,2015-01,3.1万公里,张家口,国四,自动,3600元（车价x4%，最低3500元） ,长安铃木,小型SUV,1.6L 122马力 L4,7档无级变速箱(CVT),5门5座SUV,4300/1765/1585,2600,-,1170,1.6,自然吸气,L4,122,158,汽油,92号,多点电喷,国四,-,电动助力,麦弗逊式独立悬架,纵臂扭转力式非独立悬架,通风盘式,盘式,-,205/60 R16,205/60 R16,正常/正常,正常/正常,正常/正常,无,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,标配/标配,标配,标配,标配,无,标配,标配,标配,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
沃尔沃XC60 2015款 2.0T T5 AWD 智驭版,沃尔沃XC60,2015款,31.50,51.00,2015-12,4.5万公里,廊坊,国四,自动,12600元（车价x4%，最低3500元） ,沃尔沃亚太,中型SUV,2.0T 214马力 L5,6档手自一体变速箱(AT),5门5座SUV,4644/1891/1713,2774,490-14,1861,2.0,涡轮增压,L5,214,300,汽油,95号,多点电喷,国四,全时四驱,电子液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,通风盘式,-,235/55 R19,235/55 R19,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,标配,无,无,标配,标配,标配/标配,标配,标配,标配,标配,无,无,标配,标配,标配,无,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
本田飞度 2014款 1.5L EX CVT精英型,本田飞度,2014款,7.60,10.70,2014-12,5.6万公里,保定,国四,自动,3500元（车价x4%，最低3500元） ,广汽本田,小型车,1.5L 131马力 L4,无级变速档无级变速箱(CVT),5门5座两厢车,4065/1695/1525,2530,-,1105,1.5,自然吸气,L4,131,155,汽油,92号,直喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,鼓式,-,185/60 R15,185/60 R15,标配/标配,标配/无,无/无,无,标配,标配,标配,标配,无,标配,无,无,无,无,标配,标配/标配,标配,无,无,无,无,无,无,无,标配,无,加装,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
大众帕萨特 2014款 1.8TSI DSG尊雅版,大众帕萨特,2014款,16.00,22.60,2015-02,4.3万公里,保定,国四,自动,6400元（车价x4%，最低3500元） ,上汽大众,中型车,1.8T 160马力 L4,7档双离合变速箱(DCT),4门5座三厢车,4870/1834/1472,2803,490,1520,1.8,涡轮增压,L4,160,250,汽油,95号,直喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,215/60 R16,215/60 R16,正常/正常,正常/正常,正常/正常,标配,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,无,无,无,标配,标配,无,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
奥迪A4L 2015款 35 TFSI 自动标准型,奥迪A4L,2015款,21.15,34.00,2014-11,2.8万公里,邯郸,国四,自动,8460元（车价x4%，最低3500元） ,一汽-大众奥迪,中型车,2.0T 180马力 L4,8档无级变速箱(CVT),4门5座三厢车,4761/1826/1439,2869,480,1600,2.0,涡轮增压,L4,180,320,汽油,95号,混合喷射,国四,-,电动助力,五连杆式独立悬架,梯形连杆式独立悬架,通风盘式,盘式,-,225/55 R16,225/55 R16,正常/正常,正常/正常,正常/正常,标配,标配,标配,无,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
现代名图 2014款 1.8L 自动智能型GLS,现代名图,2014款,12.00,16.30,2015-12,2.8万公里,张家口,国四,自动,4800元（车价x4%，最低3500元） ,北京现代,中型车,1.8L 143马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4710/1820/1470,2770,526,1421,1.8,自然吸气,L4,143,176,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,205/60 R16,205/60 R16,正常/正常,正常/正常,正常/正常,无,标配,标配,标配,标配,无,标配,标配,无,无,无,无,标配/标配,标配,无,标配,标配,标配,标配,无,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
奇瑞瑞虎5 2014款 2.0L 手动智云版,奇瑞瑞虎5,2014款,7.50,12.40,2014-10,2.3万公里,石家庄,国五,手动,3500元（车价x4%，最低3500元） ,奇瑞汽车,紧凑型SUV,2.0L 139马力 L4,5档手动变速箱(MT),5门5座SUV,4506/1841/1740,2610,370,1495,2.0,自然吸气,L4,139,182,汽油,92号,多点电喷,国五,,电动助力,麦弗逊式独立悬架,双连杆独立悬架,通风盘式,盘式,-,225/65 R17,225/65 R17,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,标配,标配,无,无,无,无,标配,标配/标配,标配,无,标配,标配,标配,标配,标配,标配,标配,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
路虎揽胜 2010款 5.0 V8 SC 创世尊崇版(进口),路虎揽胜,2010款,70.00,291.80,2014-04,7.12万公里,秦皇岛,国四,自动,28000元（车价x4%，最低3500元） ,路虎(进口),中大型SUV,5.0T 510马力 V8,6档手自一体变速箱(AT),5门5座SUV,4972/2034/1865,2880,994-20,2710,5.0,机械增压,V8,510,625,汽油,95号,直喷,国四,全时四驱,电子液压助力,空气悬架,空气悬架,通风盘式,通风盘式,-,255/50 R20,255/50 R20,正常/正常,正常/正常,正常/正常,标配,标配,无,标配,标配,标配,标配,无,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/标配,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
现代全新胜达 2013款 2.4L 自动两驱智能型,现代全新胜达,2013款,18.00,27.10,2014-09,4.7万公里,邢台,国四,自动,7200元（车价x4%，最低3500元） ,北京现代,中型SUV,2.4L 189马力 L4,6档手自一体变速箱(AT),5门5座SUV,4725/1880/1686,2700,-,1670,2.4,自然吸气,L4,189,240,汽油,92号,直喷,国四,-,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/65 R17,235/65 R17,正常/正常,正常/正常,正常/正常,无,标配,无,标配,标配,标配,标配,标配,无,无,无,标配,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
大众捷达 2015款 质惠版 1.6L 自动舒适型,大众捷达,2015款,9.00,11.50,2016-05,0.9万公里,沧州,国四,自动,3600元（车价x4%，最低3500元） ,一汽-大众,紧凑型车,1.6L 110马力 L4,6档自动变速箱(AT),4门5座三厢车,4487/1706/1470,2603,466,-,1.6,自然吸气,L4,110,160,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,复合扭力梁式非独立悬架,通风盘式,鼓式,-,185/60 R15,185/60 R15,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,无,标配,无,无,无,标配,无,标配/标配,标配,标配,无,标配,无,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
宝马3系 2015款 328Li 豪华设计套装,宝马3系,2015款,31.00,50.50,2015-07,1.82万公里,石家庄,国四,自动,12400元（车价x4%，最低3500元） ,华晨宝马,中型车,2.0T 245马力 L4,8档手自一体变速箱(AT),4门5座三厢车,4734/1811/1455,2920,480,1590,2.0,涡轮增压,L4,245,350,汽油,95号,直喷,国四,-,电动助力,双球节弹簧减振支柱前桥,多连杆独立悬架,通风盘式,通风盘式,-,225/50 R17,225/50 R17,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
宝马5系 2017款 520Li 典雅型,宝马5系,2017款,39.00,47.30,2016-09,1万公里,唐山,国五,自动,15600元（车价x4%，最低3500元） ,华晨宝马,中大型车,2.0T 184马力 L4,8档手自一体变速箱(AT),4门5座三厢车,5055/1860/1491,3108,520,1740,2.0,涡轮增压,L4,184,270,汽油,95号,直喷,国五,-,电动助力,双叉臂式独立悬架,多连杆独立悬架,通风盘式,通风盘式,-,225/55 R17,225/55 R17,正常/正常,正常/正常,正常/正常,无,标配,标配,标配,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
奔驰E级 2014款 E 300 L,奔驰E级,2014款,45.00,73.30,2014-05,2.93万公里,石家庄,国四,自动,18000元（车价x4%，最低3500元） ,北京奔驰,中大型车,3.0L 245马力 V6,7档手自一体变速箱(AT),4门5座三厢车,5021/1854/1487,-,-,-,3.0,自然吸气,V6,245,300,汽油,95号,多点电喷,国四,-,电子液压助力,多连杆独立悬架,多连杆独立悬架,通风盘式,通风盘式,-,255/40 R18,255/40 R18,标配/标配,标配/标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0
保时捷Panamera 2016款 Panamera 4 Executive Edition 3.0,保时捷Panamera,2016款,100.00,147.40,2015-12,1.01万公里,廊坊,国五,自动,40000元（车价x4%，最低3500元） ,保时捷,大型车,3.0T 320马力 V6,7档双离合变速箱(DCT),5门4座掀背车,5165/1931/1418,3070,-,-,3.0,双涡轮增压,V6,320,420,汽油,95号,直喷,国五,全时四驱,电动助力,双摇臂独立悬架,多连杆独立悬架,通风盘式,通风盘式,-,255/45 R19,285/40 R19,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/标配,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
丰田威驰 2014款 1.3L 手动型尚版,丰田威驰,2014款,6.10,8.20,2016-02,3.4万公里,石家庄,国四,手动,3500元（车价x4%，最低3500元） ,一汽丰田,小型车,1.3L 99马力 L4,5档手动变速箱(MT),4门5座三厢车,4410/1700/1490,2550,476,1025,1.3,自然吸气,L4,99,123,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,鼓式,-,175/65 R14,175/65 R14,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,无,无,无,无,无,无,无,标配/标配,标配,无,无,无,标配,无,加装,无,加装,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
东南V3菱悦 2014款 1.5L 手动亲民版,东南V3菱悦,2014款,3.60,6.30,2014-06,6.6万公里,北京,国四,手动,3500元（车价x4%，最低3500元） ,东南汽车,紧凑型车,1.5L 120马力 L4,5档手动变速箱(MT),4门5座三厢车,4420/1700/1415,2500,420,-,1.5,自然吸气,L4,120,143,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,185/60 R15,185/60 R15,正常/无,无/无,无/无,无,标配,无,无,标配,无,无,无,无,无,无,无,标配/标配,无,无,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
比亚迪速锐 2015款 改款 1.5L 手动豪华型,比亚迪速锐,2015款,5.20,8.30,2016-09,2.67万公里,廊坊,国五,手动,3500元（车价x4%，最低3500元） ,比亚迪,紧凑型车,1.5L 109马力 L4,5档手动变速箱(MT),4门5座三厢车,4680/1765/1490,2660,450,-,1.5,自然吸气,L4,109,145,汽油,92号,多点电喷,国五,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/无,正常/正常,无,标配,标配,标配,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,加装,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
本田雅阁 2016款 混动 2.0L 锐领版,本田雅阁,2016款,20.83,28.20,2017-02,1.18万公里,天津,国五,自动,8332元（车价x4%，最低3500元） ,广汽本田,中型车,2.0L 146马力 L4,无级变速档电子无级变速箱(E-CVT),4门5座三厢车,4915/1845/1470,2775,399,1667,2.0,自然吸气,L4,146,175,油电混合,92号,多点电喷,国五,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/45 R18,235/45 R18,正常/正常,无/无,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,无,加装,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
大众途观 2016款 300TSI 自动两驱豪华版,大众途观,2016款,20.80,28.20,2016-04,1.8万公里,廊坊,国五,自动,8320元（车价x4%，最低3500元） ,上汽大众,紧凑型SUV,1.8T 160马力 L4,6档手自一体变速箱(AT),5门5座SUV,4506/1809/1685,2684,400-15,1600,1.8,涡轮增压,L4,160,250,汽油,95号,直喷,国五,-,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/55 R17,235/55 R17,正常/正常,正常/无,正常/正常,标配,标配,标配,标配,标配,标配,标配,标配,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
起亚K3 2015款 1.6L 自动GLS,起亚K3,2015款,8.59,13.50,2016-01,1.57万公里,天津,国五,自动,3500元（车价x4%，最低3500元） ,东风悦达起亚,紧凑型车,1.6L 128马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4600/1780/1445,2700,-,1280,1.6,自然吸气,L4,128,156,汽油,92号,多点电喷,国五,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/无,无/无,无,标配,标配,标配,标配,无,标配,无,无,无,无,无,标配/标配,标配,标配,标配,无,标配,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
日产蓝鸟 2016款 1.6L CVT炫酷版,日产蓝鸟,2016款,10.30,13.40,2016-01,1万公里,唐山,国五,自动,4120元（车价x4%，最低3500元） ,东风日产,紧凑型车,1.6L 126马力 L4,无级变速档无级变速箱(CVT),4门5座三厢车,4683/1780/1465,2700,521,1228,1.6,自然吸气,L4,126,154,汽油,92号,多点电喷,国五,,电动助力,麦弗逊式独立悬架+横向稳定杆,带稳定杆扭力梁式后悬架,通风盘式,盘式,-,195/60 R16,195/60 R16,正常/正常,正常/无,无/无,无,标配,标配,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,无,标配,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
标致408 2014款 1.8L 自动豪华版,标致408,2014款,8.60,16.20,2015-10,1.3万公里,石家庄,国五,自动,3500元（车价x4%，最低3500元） ,东风标致,紧凑型车,1.8L 139马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4750/1820/1488,2730,455,1370,1.8,自然吸气,L4,139,172,汽油,92号,多点电喷,国五,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,215/50 R17,215/50 R17,正常/正常,正常/无,正常/正常,标配,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,无,无/无,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,1
福特福克斯 2017款 两厢 1.6L 手动舒适型智行版,福特福克斯,2017款,8.20,12.60,2016-12,0.97万公里,唐山,国五,手动,3500元（车价x4%，最低3500元） ,长安福特,紧凑型车,1.6L 125马力 L4,5档手动变速箱(MT),5门5座两厢车,4368/1823/1483,2648,356,1306,1.6,自然吸气,L4,125,159,汽油,92号,多点电喷,国五,,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,205/60 R16,205/60 R16,正常/正常,正常/无,正常/正常,无,标配,标配,无,标配,标配,无,无,无,无,无,标配,标配/标配,标配,无,无,无,标配,无,标配,无,标配,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
